Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Actinophytocola xinjiangensis
Actinoplanes abujensis
Actinoplanes atraurantiacus
Actinoplanes auranticolor
Actinoplanes bogorensis
Actinoplanes brasiliensis
Actinoplanes campanulatus
Actinoplanes capillaceus
Actinoplanes cibodasensis
Actinoplanes consettensis
Actinoplanes couchii
Actinoplanes cyaneus
Actinoplanes deccanensis
Actinoplanes derwentensis
Actinoplanes digitatis
Actinoplanes durhamensis
Actinoplanes ferrugineus
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes hulinensis
Actinoplanes humidus
Actinoplanes ianthinogenes
Actinoplanes italicus
Actinoplanes lichenis
Actinoplanes liguriensis
Actinoplanes lobatus
Actinoplanes luteus
Actinoplanes lutulentus
Actinoplanes missouriensis
Actinoplanes nipponensis
Actinoplanes octamycinicus
Actinoplanes palleronii
Actinoplanes philippinensis
Actinoplanes ramoplaninifer
Actinoplanes rectilineatus
Actinoplanes regularis
Actinoplanes rhizophilus
Actinoplanes rishiriensis
Actinoplanes sediminis
Actinoplanes siamensis
Actinoplanes sichuanensis
Actinoplanes subglobosus
Actinoplanes subtropicus
Actinoplanes teichomyceticus
Actinoplanes tereljensis
Actinoplanes toevensis
Actinoplanes tropicalis
Actinoplanes utahensis
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha pittospori
Actinopolymorpha rutila
Actinopolymorpha singaporensis
Actinopolyspora alba
Actinopolyspora algeriensis
Actinopolyspora biskrensis
Actinopolyspora dayingensis
Actinopolyspora erythraea
Actinopolyspora halophila
Actinopolyspora lacussalsi
Actinopolyspora mortivallis
Actinopolyspora mzabensis
Actinopolyspora righensis
Actinopolyspora saharensis
Actinopolyspora salinaria
Actinopolyspora xinjiangensis
Actinorectispora indica
Actinorectispora metalli
Actinorhabdospora filicis
Actinorugispora endophytica
Actinospica acidiphila
Actinospica durhamensis
Actinospica robiniae
Actinosynnema mirum
Actinosynnema pretiosum
Actinotalea caeni
Actinotalea fermentans
Actinotalea ferrariae
Actinotalea solisilvae
Actinotignum schaalii
Actinotignum urinale
Actirhodobacter atriluteus
Acutalibacter muris
Acuticoccus yangtzensis
Adhaeretor mobilis
Adhaeribacter aerolatus
Adhaeribacter aerophilus
Adhaeribacter aquaticus
Adhaeribacter rhizoryzae
Adhaeribacter swui
Adhaeribacter terrae
Adhaeribacter terreus
Adlercreutzia caecimuris
Adlercreutzia equolifaciens
Adlercreutzia mucosicola
Adlercreutzia muris
Advenella alkanexedens
Advenella faeciporci
Advenella incenata
Advenella kashmirensis
Advenella mimigardefordensis
Aegicerativicinus sediminis
Aeoliella mucimassa
Aequoribacter fuscus
Aequorivita aestuarii
Aequorivita antarctica
Aequorivita aquimaris
